id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
2987298,2021-03-22,14:05:00,-0.13310109078884125,102.81523895263672,8,aqua,3000,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
3004054,2021-03-23,13:10:00,1.3506232500076294,102.44417572021484,8,aqua,3000,Bengkalis,Bengkalis,Riau,Cluster
2818531,2021-03-14,13:29:58,1.3504549792105263,102.44484630394737,8,snpp,4019,Bengkalis,Bengkalis,Riau,Cluster
2987299,2021-03-22,14:05:00,-0.13649019598960876,102.79144287109375,8,aqua,3000,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
2818532,2021-03-14,13:29:58,1.3471410466666667,102.32475280833334,8,snpp,1668,Merbau,"Kepulauan Meranti",Riau,Cluster
2987300,2021-03-22,14:05:00,0.18796759843826294,102.75152587890625,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2818533,2021-03-14,13:29:58,1.5312233,102.19835663,8,snpp,1125,Bintan,Bengkalis,Riau,Cluster
2987301,2021-03-22,14:05:00,1.3976378440856934,101.63035583496094,8,aqua,3000,"Bukit Batu",Bengkalis,Riau,Cluster
3288126,2021-02-07,10:27:45,1.275705,101.161913,7,landsat8,90,Mandau,Bengkalis,Riau,Cluster
3288127,2021-02-07,10:27:45,1.326077,101.246301,7,landsat8,90,Mandau,Bengkalis,Riau,Cluster
3137756,2021-03-30,00:49:11,-0.48940936,102.47746277,8,snpp,1125,Rengat,"Indragiri Hulu",Riau,Cluster
3288128,2021-02-07,10:27:45,1.9572165,101.316279,9,landsat8,102,"Dumai Barat",Dumai,Riau,Cluster
3147549,2021-03-30,13:17:00,0.18250726163387299,102.86441802978516,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
3065790,2021-03-26,13:43:00,0.5331643223762512,101.98070526123047,8,aqua,3000,Bunut,Pelalawan,Riau,Cluster
3288129,2021-02-07,10:27:45,2.1021675,101.57524,8,landsat8,120,"Rupat Utara",Bengkalis,Riau,Cluster
3147550,2021-03-30,13:17:00,0.15788942575454712,102.23751068115234,8,aqua,3000,Bunut,Pelalawan,Riau,Cluster
3288132,2021-02-07,10:27:45,0.333042,100.565097,8,landsat8,90,"Tiga Belas Koto Kampar",Kampar,Riau,Cluster
3149203,2021-03-30,10:24:00,1.0073130130767822,101.77716445922852,7,terra,3414,Siak,Siak,Riau,Cluster
3149204,2021-03-30,10:24:00,0.8685332238674164,101.82024002075195,8,terra,3414,"Siak Sri Indrapura",Siak,Riau,Cluster
3069538,2021-03-26,10:46:00,0.6119605898857117,102.89793395996094,8,terra,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
3069539,2021-03-26,10:46:00,-0.326406866312027,102.75694274902344,7,terra,3000,Tempuling,"Indragiri Hilir",Riau,Cluster
3288144,2021-03-11,10:27:45,0.862199,100.335055,7,landsat8,90,Rambah,"Rokan Hulu",Riau,Cluster
3069540,2021-03-26,10:46:00,-0.329728901386261,102.7077407836914,8,terra,3000,Tempuling,"Indragiri Hilir",Riau,Cluster
3149205,2021-03-30,10:24:00,0.513141930103302,102.29299926757812,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
3149207,2021-03-30,10:24:00,0.38470467925071716,102.12920379638672,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
3288157,2021-03-27,10:27:45,1.6644546666666666,101.67689066666667,9,landsat8,111,"Bukit Kapur",Dumai,Riau,Cluster
3150173,2021-03-30,10:22:00,1.0049062967300415,102.70418548583984,8,terra,3000,"Tebingtinggi Barat","Kepulauan Meranti",Riau,Cluster
3151292,2021-03-30,13:16:00,0.8652833104133606,101.80848693847656,8,aqua,3000,"Siak Sri Indrapura",Siak,Riau,Cluster
3104702,2021-03-28,10:36:00,1.781803846359253,101.5079574584961,8,terra,3000,Rupat,Bengkalis,Riau,Cluster
3288260,2021-01-24,10:15:54,0.583428,103.296502,8,landsat8,90,"Kuala Kampar",Pelalawan,Riau,Cluster
3105477,2021-03-28,10:34:00,1.7831624746322632,101.49862670898438,8,terra,3000,Rupat,Bengkalis,Riau,Cluster
3151293,2021-03-30,13:16:00,1.3907636404037476,101.6418685913086,8,aqua,3000,"Bukit Batu",Bengkalis,Riau,Cluster
3151294,2021-03-30,13:16:00,1.4227755069732666,101.57583618164062,7,aqua,3000,Mandau,Bengkalis,Riau,Cluster
3151295,2021-03-30,13:16:00,1.4832422733306885,101.72828674316406,8,aqua,3000,"Bukit Batu",Bengkalis,Riau,Cluster
3151296,2021-03-30,13:16:00,1.6738684177398682,101.43465423583984,8,aqua,3000,"Dumai Timur",Dumai,Riau,Cluster
3210592,2021-04-02,13:48:00,0.8749949932098389,101.55384826660156,7,aqua,3000,Siak,Siak,Riau,Cluster
